,title,date_x_tmdb,score_tmdb,genre_tmdb,overview_tmdb,crew_tmdb,orig_title_tmdb,status_tmdb,orig_lang_tmdb,budget_x_tmdb,revenue_tmdb,country_tmdb,Unnamed: 0_top_1000,overview_top_1000,original_language_top_1000,vote_count_top_1000,vote_average_top_1000
13,Strays,06/09/2023 ,0.0,"Comedy, Adventure","When Reggie, a naïve, relentlessly optimistic Border Terrier, is abandoned on the mean city streets by his lowlife owner, Doug, Reggie is certain that his beloved owner would never leave him on purpose. But once Reggie falls in with a fast-talking, foul-mouthed Boston Terrier named Bug, a stray who loves his freedom and believes that owners are for suckers, Reggie finally realizes he was in a toxic relationship and begins to see Doug for the heartless sleazeball that he is. Determined to seek revenge, Reggie, Bug and Bug’s pals together hatch a plan and embark on an epic adventure to help Reggie find his way home … and make Doug pay by biting off the appendage he loves the most. (Hint: It’s not his foot).","Will Ferrell, Reggie (voice), Jamie Foxx, Bug (voice), Will Forte, Doug, Isla Fisher, Maggie (voice), Randall Park, Hunter (voice), Josh Gad, , Harvey Guillén, , Brett Gelman, , Rob Riggle, ",Strays, Post Production, English,223940000.0,175269998.8,US,1015,"The world of Zeytin, a stray dog living life on the streets of Istanbul.",en,0,0.0
14,Separation,04/30/2021 ,58.0,"Horror, Drama",A young girl finds solace in her artist father and the ghost of her dead mother.,"Brian Cox, Rivers, Rupert Friend, Jeff, Madeline Brewer, Samantha, Violet McGraw, Jenny, Mamie Gummer, Maggie, Troy James, Nerezza, Simon Quarterman, Alan",Separation, Released, English,86159000.0,347200298.4,US,5409,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,fa,926,8.0
15,Spiral: From the Book of Saw,05/13/2021 ,61.0,"Horror, Crime, Mystery","Working in the shadow of an esteemed police veteran, brash Detective Ezekiel “Zeke” Banks and his rookie partner take charge of a grisly investigation into murders that are eerily reminiscent of the city’s gruesome past.  Unwittingly entrapped in a deepening mystery, Zeke finds himself at the center of the killer’s morbid game.","Chris Rock, Ezekiel 'Zeke' Banks, Samuel L. Jackson, Marcus Banks, Max Minghella, William Schenk, Marisol Nichols, Captain Angie Garza, Morgan David Jones, Officer Barrett, Frank Licari, Charlie Schenk, John Tokatlidis, Burns, Zoie Palmer, Kara Boswick, Dan Petronijevic, Det. Marv Boswick",Spiral: From the Book of Saw, Released, English,20000000.0,40618920.0,AU,7460,"Working in the shadow of an esteemed police veteran, brash Detective Ezekiel “Zeke” Banks and his rookie partner take charge of a grisly investigation into murders that are eerily reminiscent of the city’s gruesome past.  Unwittingly entrapped in a deepening mystery, Zeke finds himself at the center of the killer’s morbid game.",en,0,0.0
16,Sword Art Online: The Movie – Ordinal Scale,02/18/2017 ,77.0,"Animation, Action, Adventure, Fantasy, Romance, Science Fiction","In 2026, four years after the infamous Sword Art Online incident, a revolutionary new form of technology has emerged: the Augma, a device that utilizes an Augmented Reality system. Unlike the Virtual Reality of the NerveGear and the Amusphere, it is perfectly safe and allows players to use it while they are conscious, creating an instant hit on the market. The most popular application for the Augma is the game Ordinal Scale, which immerses players in a fantasy role-playing game with player rankings and rewards.  Following the new craze, Kirito's friends dive into the game, and despite his reservations about the system, Kirito eventually joins them. While at first it appears to be just fun and games, they soon find out that the game is not all that it seems...","Yoshitsugu Matsuoka, Kazuto Kirigaya / Kirito (voice), Haruka Tomatsu, Asuna Yūki (voice), Ayahi Takagaki, Rika Shinozaki / Lizbeth (voice), Ayana Taketatsu, Suguha Kirigaya / Leafa (voice), Hiroaki Hirata, Klein (voice), Hiroki Yasumoto, Andrew Gilbert Mills / Agil (voice), Kanae Ito, Yui (voice), Miyuki Sawashiro, Shino Asada / Sinon (voice), Rina Hidaka, Keiko Ayano / Silica (voice)", 劇場版 ソードアート・オンライン -オーディナル・スケール-, Released, Japanese,52023622.6,20725409.0,JP,5823,"In 2026, four years after the infamous Sword Art Online incident, a revolutionary new form of technology has emerged: the Augma, a device that utilizes an Augmented Reality system. Unlike the Virtual Reality of the NerveGear and the Amusphere, it is perfectly safe and allows players to use it while they are conscious, creating an instant hit on the market. The most popular application for the Augma is the game Ordinal Scale, which immerses players in a fantasy role-playing game with player rankings and rewards. Following the new craze, Kirito's friends dive into the game, and despite his reservations about the system, Kirito eventually joins them. While at first it appears to be just fun and games, they soon find out that the game is not all that it seems...",ja,284,7.6
17,Mortal Kombat Legends: Scorpion's Revenge,05/20/2020 ,82.0,"Animation, Action, Fantasy","After the vicious slaughter of his family by stone-cold mercenary Sub-Zero, Hanzo Hasashi is exiled to the torturous Netherrealm. There, in exchange for his servitude to the sinister Quan Chi, he’s given a chance to avenge his family – and is resurrected as Scorpion, a lost soul bent on revenge. Back on Earthrealm, Lord Raiden gathers a team of elite warriors – Shaolin monk Liu Kang, Special Forces officer Sonya Blade and action star Johnny Cage – an unlikely band of heroes with one chance to save humanity. To do this, they must defeat Shang Tsung’s horde of Outworld gladiators and reign over the Mortal Kombat tournament.","Patrick Seitz, Hanzo Hasashi / Scorpion (voice), Jordan Rodrigues, Liu Kang (voice), Jennifer Carpenter, Sonya Blade (voice), Joel McHale, Johnny Cage (voice), Ike Amadi, Jax Briggs (voice), Steve Blum, Sub-Zero (voice), Artt Butler, Shang Tsung / Lin Kuei Assasin (voice), Darin De Paul, Quan Chi (voice), Robin Atkin Downes, Kano / Shinnok (voice)",Mortal Kombat Legends: Scorpion's Revenge, Released, English,152800000.0,679406442.6,AU,1304,"After the vicious slaughter of his family by stone-cold mercenary Sub-Zero, Hanzo Hasashi is exiled to the torturous Netherrealm. There, in exchange for his servitude to the sinister Quan Chi, he’s given a chance to avenge his family – and is resurrected asScorpion, a lost soul bent on revenge. Back on Earthrealm, Lord Raiden gathers a team of elite warriors – Shaolin monk Liu Kang, Special Forces officer Sonya Blade and action star Johnny Cage – an unlikely band of heroes with one chance to save humanity. To do this, they must defeat Shang Tsung’s horde of Outworld gladiators and reign over the Mortal Kombat tournament.",en,0,0.0
18,Hitman's Wife's Bodyguard,06/24/2021 ,67.0,"Action, Comedy, Thriller","The world’s most lethal odd couple – bodyguard Michael Bryce and hitman Darius Kincaid – are back on another life-threatening mission. Still unlicensed and under scrutiny, Bryce is forced into action by Darius's even more volatile wife, the infamous international con artist Sonia Kincaid. As Bryce is driven over the edge by his two most dangerous protectees, the trio get in over their heads in a global plot and soon find that they are all that stand between Europe and a vengeful and powerful madman.","Ryan Reynolds, Michael Bryce, Samuel L. Jackson, Darius Kincaid, Salma Hayek, Sonia Kincaid, Antonio Banderas, Aristotle Papdopolous, Morgan Freeman, Senior, Frank Grillo, Bobby O'Neill, Caroline Goodall, Crowley, Rebecca Front, Therapist, Gabriella Wright, Veronika",Hitman's Wife's Bodyguard, Released, English,70000000.0,70060492.0,AU,4530,"The sequel to the assassin action-comedy The Hitman's Bodyguard, The Hitman's Wife's Bodyguard is being touted on posters in Cannes and being marketed as “The Good. The Bad. And the Batsh*t cray.”",en,0,0.0
19,Barbie and the Magic of Pegasus,10/05/2005 ,71.0,"Animation, Family, Romance","Princess Annika escapes the clutches of the evil wizard, explores the wonders of Cloud Kingdom, and teams up with a magnificent winged horse - who turns out to be her sister, Princess Brietta - to defeat the wizard and break the spells that imprisoned her family.","Kelly Sheridan, Princess Annika / Troll / Wife #3 (voice), Kathleen Barr, Shiver / Queen / Rayla The Cloud Queen / Troll / Wife #1 / Eric (voice), Lalainia Lindbjerg, Brietta / Troll / Wife #2 (voice), Colin Murdock, Wenlock (voice), Mark Hildreth, Aidan (voice), Brian Drummond, Ferris / Aidan's Father (voice), Russell Roberts, King (voice), John DeSantis, Ollie The Giant (voice), Chantal Strand, Rose (voice)",Barbie and the Magic of Pegasus, Released, English,127000000.0,816420246.8,US,2408,"Princess Annika (Barbie) escapes the clutches of the evil wizard, explores the wonders of Cloud Kingdom, and teams up with a magnificent winged horse - who turns out to be her sister, Princess Brietta - to defeat the wizard and break the spells that imprisoned her family.",en,358,6.9
20,Serial (Bad) Weddings 3,12/21/2021 ,64.0,"Romance, Comedy","Claude and Marie Verneuil will soon be celebrating their 40th wedding anniversary. For the occasion, their four daughters - Isabelle, Odile, Ségolène and Laure - decide to organize a big surprise party in their family home in Chinon. They also decide to invite, each, the parents of their respective husbands - Rachid Benassem, David Benichou, Chao Ling and Charles Koffi.","Christian Clavier, Claude Verneuil, Chantal Lauby, Marie Verneuil, Ary Abittan, David Benichou, Medi Sadoun, Rachid Benassem, Frédéric Chau, Chao Ling, Noom Diawara, Charles Koffi, Frédérique Bel, Isabelle, Émilie Caen, Ségolène, Élodie Fontan, Laure", Qu'est-ce qu'on a tous fait au Bon Dieu ?, Released, French,22000000.0,163709896.6,FR,3225,"Claude and Marie Verneuil face a new crisis. The four spouses of their daughters, David, Rachid, Chao and Charles decided to leave France for various reasons. Here they are imagining their lives elsewhere.",fr,720,5.9
21,Beauty Salon: Special Services 4,12/01/2022 ,66.0,Romance,"Focusing on the relationship between men and women in a beauty salon, Dae-hye, the director of a korean erotic film beauty salon, becomes more difficult to sell in a depression. The building owner’s rent pressure also comes in, and employee Juhee suggests to Dae-hye to do a bikini service, saying that a bikini beauty salon has hit the jackpot in a foreign country. Surprisingly, bikini service is on the jackpot and guests are increasingly looking for a more powerful service.","Min Do-yoon, , Min Jung, , Sae Bom, ", 미용실 : 특별한 서비스 4, Released, Korean,53340523.8,359866643.6,KR,4874,"A legendary beauty salon that is sure to become a regular once you go!""Sir, would you like to have a very hot service?""In order to overcome the financial difficulties of the beauty parlor,It begins to attract the male guests with the special technique that makes it from head to toe.Kurt, Firm, and 'it' to open the hair salon is good!",ko,0,0.0
22,Beverly Hills Chihuahua 3: Viva la Fiesta!,09/18/2012 ,62.0,"Comedy, Family","When Papi, Chloe, the pups, Uncle Pedro, and their owners move to a hotel, the smallest pup Rosa feels like she doesn't fit in, and Papi wants to make her feel better by showing her how special she is.","George Lopez, Papi (voice), Frances Fisher, Amelia Jones, Jake Busey, Oscar (voice), Emily Osment, Pep (voice), Odette Annable, Chloe (voice), Madison Pettis, Lala (voice), Lacey Chabert, Charlotte (voice), Ernie Hudson, Pedro (voice), Miguel Ferrer, Delgado (voice)",Beverly Hills Chihuahua 3: Viva la Fiesta!, Released, English,75600000.0,413389196.6,US,8911,"When Papi &amp; co move into a luxurious hotel, his youngest pup Rosa feels neglected and he must show her how special she is.",en,108,5.8
23,Bāhubali: The Beginning,07/10/2015 ,76.0,"Action, Drama","The young Shivudu is left as a foundling in a small village by his mother. By the time he’s grown up, it has become apparent that he possesses exceptional gifts. He meets the beautiful warrior princess Avanthika and learns that her queen has been held captive for the last 25 years. Shividu sets off to rescue her, discovering his own origins in the process.","Prabhas, Amarendra Bāhubali / Mahendra Bāhubali 'Shivudu', Rana Daggubati, Bhallaladeva, Tamannaah Bhatia, Avanthika, Anushka Shetty, Devasena, Ramya Krishnan, Sivagami, Nassar, Bijjaladeva, Sathyaraj, Kattappa, Sudeep, Aslam Khan, Adivi Sesh, Bhadra", బాహుబలి:ద బిగినింగ్, Released, Telugu,25130430.0,90747520.0,IN,5261,"The young Shivudu is left as a foundling in a small village by his mother. By the time he’s grown up, it has become apparent that he possesses exceptional gifts. He meets the beautiful warrior/princess Avanthika and learns that her queen has been held captive for the last 25 years. Shividu sets off to rescue her, discovering his own origins in the process.",te,275,7.4
24,Bad Lieutenant: Port of Call - New Orleans,11/20/2009 ,61.0,"Drama, Crime","Terrence McDonagh is a New Orleans Police sergeant, who recieves a medal and a promotion to lieutenant for heroism during Hurricane Katrina. Due to his heroic act, McDonagh injures his back and becomes addicted to prescription pain medication. He then finds himself involved with a drug dealer who is suspected of murdering a family of African immigrants.","Nicolas Cage, Terence McDonagh, Eva Mendes, Frankie Donnenfeld, Val Kilmer, Stevie Pruit, Fairuza Balk, Heidi, Shawn Hatosy, Armand Benoit, Jennifer Coolidge, Genevieve, Tom Bower, Pat McDonagh, Vondie Curtis-Hall, Captain James Brasser, Irma P. Hall, Binnie Rogers",Bad Lieutenant: Port of Call - New Orleans, Released, English,25000000.0,10589102.0,US,3486,"Terrence McDonagh is a New Orleans Police sergeant, who recieves a medal and a promotion to lieutenant for heroism during Hurricane Katrina. Due to his heroic act, McDonagh injures his back and becomes addicted to prescription pain medication. He then finds himself involved with a drug dealer who is suspected of murdering a family of African immigrants.",en,616,6.1
25,Dominion: Prequel to The Exorcist,05/20/2005 ,53.0,Horror,"Haunted by terrible acts the Nazis forced him to participate in, the disenchanted Father Lankester Merrin focuses his energies on helping with an archaeological dig in the northern part of Kenya. There, the crew uncovers a church that predates Christian missions into the area, but the discovery also causes strange events to start occurring -- including physical changes to a young, disabled boy, whom Merrin grows to suspect has been possessed by a demon.","Stellan Skarsgård, Father Lankester Merrin, Gabriel Mann, Father Francis, Clara Bellar, Rachel Lesno, Billy Crawford, Cheche, Ralph Brown, Sergeant Major, Israel Aduramo, Jomo, Andrew French, Chuma, Antonie Kamerling, Kessel, Julian Wadham, Major Granville",Dominion: Prequel to The Exorcist, Released, English,30000000.0,251495.0,US,8918,"Haunted by terrible acts the Nazis forced him to participate in, the disenchanted Father Lankester Merrin focuses his energies on helping with an archaeological dig in the northern part of Kenya. There, the crew uncovers a church that predates Christian missions into the area, but the discovery also causes strange events to start occurring -- including physical changes to a young, disabled boy, whom Merrin grows to suspect has been possessed by a demon.",en,145,5.1
26,Sex Is Zero,12/13/2002 ,61.0,"Comedy, Drama","Eunsik tries to pass the state exam while studying in college after his military service. One day, he meets a beautiful woman Eunhyo, and his life changes.","Im Chang-jung, Eun-shik, Ha Ji-won, Eun-hyo, Jin Jae-young, Ji-won, Yoo Chae-young, Yoo-mi, Shin Yi, Kyeong-joo, Ham So-won, Kim Hyun-hee, Yun Si-hu, Jo Yun-kyung, Choi Sung-kook, Choi Sung-kook, Choi Won-young, Park Chan-soo", 색즉시공, Released, Korean,63600000.0,580471102.4,KR,3904,"'Veteran' student Eun-sik and prom queen, swimming champ Kyung-ah are a notorious couple at the campus. While their relationship has been solid for three years, Eun-sik struggles to proceed to the 'next step' with Kyung-ah, and despite the help and support of his friends, does not manage to get her into bed. Eun-sik fears that Kyung-ah will turn her back on him and is determined to get her back...",ko,20,5.8
27,The Cursed,02/18/2022 ,69.0,"Horror, Fantasy, Mystery","In the late 19th century, a brutal land baron slaughters a Roma clan, unleashing a curse on his family and village. In the days that follow, the townspeople are plagued by nightmares, the baron's son goes missing, and a boy is found murdered. The locals suspect a wild animal, but a visiting pathologist warns of a more sinister presence lurking in the woods.","Kelly Reilly, Isabelle Laurent, Boyd Holbrook, John McBride, Alistair Petrie, Seamus Laurent, Amelia Crouch, Charlotte, Roxane Duran, Anais, Max Mackintosh, Edward, Áine Rose Daly, Anne-Marie, Nigel Betts, Alfred Moliere, Stuart Bowman, Saul",The Cursed, Released, English,2489917.0,4588389.0,US,8505,"What happens when the undead return to life? In a world ravaged for years by a virus that turns the infected into zombie-like cannibals, a cure is at last found and the wrenching process of reintegrating the survivors back into society begins.",en,157,5.4
28,Finding ʻOhana,01/29/2021 ,64.0,"Action, Adventure, Comedy, Family","Two Brooklyn siblings' summer in a rural Oahu town takes an exciting turn when a journal pointing to long-lost treasure sets them on an adventure, leading them to reconnect with their Hawaiian heritage.","Kea Peahu, Pili, Alex Aiono, Ioane, Lindsay Watson, Hana, Owen Vaccaro, Casper, Kelly Hu, Leilani, Branscombe Richmond, Kimo, Chris Parnell, Brown, Marc Evan Jackson, Robinson, Ricky Garcia, Monks",Finding ʻOhana, Released, English,127400000.0,493338404.2,US,4195,"The film follows two Brooklyn siblings (Kea Peahu and Alex Aiono) whose summer in a rural Oahu town takes an exciting turn when a journal pointing to long-lost treasure sets them on an adventure, leading them to reconnect with their Hawaiian heritage.",en,0,0.0
29,The Water,11/04/2022 ,61.0,"Drama, Romance","It is summer in a small village in south-eastern Spain. A storm threatens to cause the river that runs through it to overflow again. A popular old belief claims that some women are predestined to disappear with each new flood, because they have the “water inside”. A band of young people is trying to overcome the weariness of a summer in the village that smells of death by smoking, dancing, and lusting after each other. In this electric atmosphere that precedes the storm, Ana and José live a love affair until the storm bursts.","Bárbara Lennie, Isabella, Nieve de Medina, La Grand-mère d’Ana, Luna Pamiés, Ana, Alberto Olmo, José, Irene Pellicer, Cristina, Pascual Valero, Le père de José, Nayara Garcia, Elena, Lidia Maria Canovas, Maria", El Agua, Released," Spanish, Castilian",43800000.0,671130218.2,ES,4496,"FBI agent Joel Campbell, burnt-out and shell-shocked after years spent chasing serial killers, flees L.A. to begin a new life for himself in Chicago. But five months later, Joel's best laid plans are abruptly cut short when his new hometown becomes the setting for some particularly gruesome murders--murders that could only have been committed by one man: David Allen Griffin. One of Joel's most elusive and cunning nemeses, Griffin has followed his former pursuer to Chicago in order to play a sadistic game of cat and mouse. Taunting Joel with photographs of his intended victims and leaving his crime scenes meticulously free of clues in order to keep the police at bay, Griffin derives as much pleasure out of watching Joel react to every movement as watching his victims die. But when Griffin moves into Joel's inner circle, Joel must quickly find some way to stop him before someone close to him becomes the next one to die.",en,247,5.0
30,Bāhubali 2: The Conclusion,04/28/2017 ,74.0,"Action, Adventure, Fantasy","When Mahendra, the son of Bāhubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.","Prabhas, Amarendra Bāhubali / Mahendra Bāhubali 'Shivudu', Rana Daggubati, Bhallaladeva, Sathyaraj, Kattappa, Anushka Shetty, Devasena, Nassar, Bijjaladeva, Ramya Krishnan, Sivagami, Subbaraju, Kumara Varma, Tamannaah Bhatia, Avanthika, Prudhviraj, Official in Kunthala Kingdom", బాహుబలి 2: ది కన్ క్లూజన్, Released, Telugu,31000000.0,275947313.0,IN,3049,"When Mahendra, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.",te,289,7.0
31,What's Love Got to Do with It?,01/26/2023 ,62.0,"Romance, Comedy",Two childhood friends now in their thirties must decide whether to follow their heads or their hearts once the man decides to follow his parents' advice and enter into an arranged marriage in Pakistan.,"Lily James, Zoe, Shazad Latif, Kazim Khan, Shabana Azmi, Aisha Khan, Emma Thompson, Cath, Sajal Ali, Maymouna, Oliver Chris, James, Asim Chaudhry, Mo, Jeff Mirza, Zahid Khan, Alice Orr-Ewing, Helena",What's Love Got to Do with It?, Released, English,178400000.0,324436308.4,AU,5013,A film about the singer Tina Turner and how she rose to stardom with her abusive husband Ike Turner and how she gained the courage to break free.,en,143,7.1
32,Return of the Living Dead III,10/01/1993 ,66.0,Horror,"Having recently witnessed the horrific results of a top secret project to bring the dead back to life, a distraught teenager performs the operation on his girlfriend after she's killed in a motorcycle accident.","Melinda Clarke, Julie Walker, J. Trevor Edmond, Curt Reynolds, Kent McCord, Col. John Reynolds, Sarah Douglas, Lt. Col. Sinclair, James T. Callahan, Col. Peck, Basil Wallace, Riverman, Mike Moroff, Santos, Julian Scott Urena, Mogo, Pía Reyes, Alicia",Return of the Living Dead III, Released, English,2000000.0,54207.0,US,5792,"Colonel Reynolds and his group of government scientists continue their work on re-animating the dead for military use. His son Curt uses a stolen security pass to sneak in with his thrill-seeking girlfriend Julie, with shocking, deadly results!",en,202,6.0
34,Legally Blondes,11/25/2009 ,57.0,"Comedy, Family","Moving from England to California, the youngest cousins of Elle Woods must defend themselves when their schools reigning forces turn on the girls and try to frame them for a crime.","Camilla Rosso, Annie Woods, Becky Rosso, Izzy Woods, Tanya Chisholm, Marcie, Christopher Cousins, Richard, Brittany Curran, Tiffany, Lisa Banes, Headmistress Higgins, Curtis Armstrong, Mr. Golden, Rose Abdoo, Sylvia, Bobby Campo, Chris",Legally Blondes, Released, English,11958700.6,16487322.0,AU,9966,The sequel to the two famous Legally Blonde movies.,en,0,0.0
